Id,User,Text
0,alexandros3000,"RT @idioinos: Ακολουθεί κοινωνικό μήνυμα... 
#COVID19greece #Πανδημια #Εμβολιο https://t.co/vEBYLEOCs2"
1,CAvgeri,"RT @kinimallagis: ❗Χρειαζόμαστε έναν ενδιάμεσο οδικό χάρτη δράσεων, που μαζί με το εμβόλιο στο τελικό στάδιο, θα μας βγάλουν με ασφάλεια απ…"
2,TassoPap,"το εμβόλιο περιέχει ουσίες με δύσκολες λέξεις, όχι επικίνδυνες #Πανδημια #εμβολιο #COVID19gr https://t.co/s6ixU3tbhW"
3,CalliopeIris369,And this is a video for Greek speakers describing this very technology and raising the alarm... https://t.co/HZqjLruG3g #κορωνοιος #εμβόλιο
4,bankingnewsgr,"#Αδωνις Γεωργιάδης: Θα κάνω δημόσια το εμβόλιο κορωνοϊού – Όποιος δεν το κάνει είναι ανόητος 

#κορωνοιος #Εμβολιο… https://t.co/AyugQALXJl"
5,Simon_Chatz,"ΠΡΑΚΤΙΚΕΣ ΔΡΑΣΕΙΣ
1. Οι εταιρίες κατά πλειοψηφία να συνεργαστούν
2. Να ανακαλύψουν μόνο 10-15 μεθόδους, και να κρατ… https://t.co/zoBN11yuxj"
6,nikossam_,#Εμβολιο Αρχίζουν να δολοφονούν νέους ανθρώπους εν ψυχρώ!!! https://t.co/PHqo8BlF3z
7,Simon_Chatz,"Ποιά λύση θα πρότεινα εγώ ως ιδανικότερη για τια φαρμακευτικές εμβολίων COVID-19;
ΠΡΟΤΕΡΑΙΟΤΗΤΕΣ
1. Βελτιστοποίηση… https://t.co/TKROQp6KT9"
8,bankingnewsgr,Νέες θεωρίες συνωμοσίας: Νεκρή από... το 2008 η 1η γυναίκα που έκανε το εμβόλιο για τον κορωνοϊό στην Βρετανία… https://t.co/zUDwv3YFsI
9,bankingnewsgr,"#Μόσιαλος κατά αντιεμβολιαστών: Μήπως τελικά τους έχει βάλει τσιπάκια ο Bill Gates; 

#BillGates #κορωνοιος… https://t.co/r4BA7GoDaP"
10,mairn_pap,RT @Manos_K_A: Και ας ΠΡΑΞΟΥΜΕ. #εμβολιο #GreatReset
