Id,User,Text
0,Bot_Corona_V,"RT @DLindias: VCS BERBAYAR 💞❣️
WA: 087810623890
LINE: windiad1

🖤 #vcstrusted 
🖤 #vcscroot 
🖤 #openvcs 
🖤 #RealAngels 
🖤 #vcsbugil
🖤 #OpenB…"
1,_blackisking_,RT @Mediavenir: 🇨🇳 FLASH - La ville chinoise de #Dongning est confinée après la découverte d'un cas de la #COVID19. Tous les transports son…
2,TwinkyGorilla,"RT @AndyOstroy: Yesterday we had the highest number ever of #COVID19 cases, ICUs, hospitalizations and deaths. If only this mass-murdering…"
3,viralvideovlogs,RT @Mediavenir: 🇨🇳 FLASH - La ville chinoise de #Dongning est confinée après la découverte d'un cas de la #COVID19. Tous les transports son…
4,timaItropchaud,RT @Mediavenir: 🇨🇳 FLASH - La ville chinoise de #Dongning est confinée après la découverte d'un cas de la #COVID19. Tous les transports son…
5,Xcntrik,"RT @W7VOA: Yes, @WhiteHouse has resumed public tours amid the #coronavirus pandemic: https://t.co/GRFrgrjjOZ"
6,raumunz,"RT @SkyNews: The UK has recorded 21,502 new #COVID19 cases and a further 519 deaths in the latest 24-hour period. 

Follow live #coronaviru…"
7,JassIsabella25,"RT @SkyNews: BREAKING: The UK has recorded 21,502 new #coronavirus cases and 519 further deaths in the latest 24-hour period. 

Read more o…"
8,lacunosus,"RT @SkyNews: The UK has recorded 21,502 new #COVID19 cases and a further 519 deaths in the latest 24-hour period. 

Follow live #coronaviru…"
9,DoraVeronicaMe1,RT @MadridTerapeuta: #PsicologosenMadridCEPSIM #Psicología #Saludmental #Psicoterapia #saludemocional #crecimientopersonal #psicologo #mind…
10,Jaugustod1,"INCOMPETÊNCIA!
@zehdeabreu 
#EsquerdistasSeguemEsquerdistas 
#Covid_19 
#Coronavirus https://t.co/GbPKrtSoBJ"
11,giannis30fyl,"RT @ElenaBec: 1,194 new #coronavirus cases in #Greece, 68 deaths.

Total confirmed cases: 123,842
Total deaths: 3,540
Intubated in ICU: 577…"
12,caors09_cano,"RT @cgtnenespanol: El #coronavirus SARS-CoV-2, causante de la COVID-19, comenzó a circular en #Italia en noviembre de 2019, tres meses ante…"
13,MarcG_69,"RT @lucarango88: @MediasetTgcom24 🔴#Italia #coronavirus #11dicembre

Casi +19.902(1.825.775 +1,10%)
Guariti +24.728(1.076.891 +2,35%)
Deces…"
14,LeottaVi,"RT @you_trend: 🔴 #Coronavirus, 12/12/20

• Attualmente positivi: 684.848
• Deceduti: 64.036 (+649)
• Dimessi/Guariti: 1.076.891 (+24.728)
•…"
15,ajb338,"The absolute state of this lot 😱Pictures show scale of anti-vaccination #coronavirus protest in Sussex 
https://t.co/xRWIjo1hxZ"
16,half_witt,"RT @pgpfoundation: Americans continue to struggle with the economic fallout from the #coronavirus pandemic
https://t.co/4wvSJF0h9B"
17,Crof,"First #Coronavirus Vaccines Head to States, Starting Historic Effort https://t.co/Rmdqvh2XF1"
18,B1G_BAZ,@COVIDLive Remember this is all bollocks! #Covid is measured using a flawed testing method that produces false posi… https://t.co/FsQBuor6LX
19,sashagrons,RT @picardonhealth: The #coronavirus is ravaging the world. But life looks almost normal in much of Africa. The 54 countries on the contine…
20,WeirMB,"RT @W7VOA: Yes, @WhiteHouse has resumed public tours amid the #coronavirus pandemic: https://t.co/GRFrgrjjOZ"
21,bihabercom,"🔴 #SONDAKİKA

12 Aralık 2020 | Türkiye’nin son 24 saatteki koronavirüs tablosu açıklandı.

📌 29.136 yeni vaka
📌 5.2… https://t.co/ZN1tLdomUZ"
22,a61688,"RT @W7VOA: Yes, @WhiteHouse has resumed public tours amid the #coronavirus pandemic: https://t.co/GRFrgrjjOZ"
23,emanuelecarioti,RT @emanuelecarioti: #CovidItalia #oggi 😥 19.903 contagi; 649 DECESSI!!! 😥 #12dicembre 2020: https://t.co/d8A0o8IEwr #COVID19 #Covid #Covid…
24,bitcoinconnect,PS5 restock: Here's where and how to buy a PlayStation 5 this weekSEE MORE HERE ==&gt; https://t.co/8PTOFMzQGs… https://t.co/shGvqhw3Xy
25,emanuelecarioti,#CovidItalia #oggi 😥 19.903 contagi; 649 DECESSI!!! 😥 #12dicembre 2020: https://t.co/d8A0o8IEwr #COVID19 #Covid #Covid_19 #coronavirus
26,dogtor_the,"Como actúa la vacuna en el organismo ThCD4 y efectos adversos
#coronavirus
#VacunaCOVID19

https://t.co/vm86cjmXHh"
27,Devabole,"RT @RaiNews: #Coronavirus, 19.903 nuovi casi e 649 morti nelle ultime 24 ore in Italia https://t.co/XXdkwszaoR"
28,OrvilleLloyd,"RT @SkyNews: BREAKING: The UK has recorded 21,502 new #coronavirus cases and 519 further deaths in the latest 24-hour period. 

Read more o…"
29,TraceyBleakley,RT @hospiceuk: Are you a compassionate employer? The #Coronavirus pandemic has revealed an urgent need to provide better support for employ…
30,MarcG_69,"#Coronavirus, il bollettino del 12 dicembre: 19903 nuovi positivi con 196.439 tamponi. 649 i morti - Orizzonte Scuo… https://t.co/zttoao8q7E"
31,HRafhumcar,"#COVID19 #coronavirus #Covid_19 #Covid #COVID19 #COVID
#ReporteCovid19
United States🇺🇲
Coronavirus Cases😷
Deaths🏴
R… https://t.co/IYDHz5SwdA"
32,lovelife3103,Mijn stem gaat in maart naar de partij die de mediawet aanpast zodat er per uur maximaal 5 minuten #reclame uitgezo… https://t.co/py5pMDlI9q
33,ChroniqueGerard,"Encore le laboratoire #Pasteur,
Ils sont d'une negligence. #Wuhan #coronavirus #SRAs https://t.co/7BCVk7prR5"
34,alexdfox,"NOW POSTED: Managing ECMO Operations in #COVID19 

Free 90-minute webinar now posted to @ELSOOrg YouTube channel!… https://t.co/tx5D8HPruE"
35,leiamoneytimes,Bolsonaro diz que população deve evitar pânico por pandemia do coronavírus https://t.co/Q6FA6cm3YW  #Coronavírus… https://t.co/hc7wXjSkSn
36,GreekReporter,#Survey Reveals Only 4 Out of 10 Greeks Want to Get #Coronavirus Vaccine https://t.co/2lfmaKwWPN
37,ArJunMohanan13,"RT @vassar888: Earth's 🌎 been in quarantine since ""The Fall of ✨Atlantis"". REAL PIC OF QUARANTINE SCHEMATIC
#Trending #soloartist #BREAKING…"
38,B1G_BAZ,@COVIDLive Remember this is all bollocks! #Covid is measured using a flawed testing method that produces false posi… https://t.co/CZbDDhjq1f
39,Jessy_G6,RT @Mediavenir: 🇨🇳 FLASH - La ville chinoise de #Dongning est confinée après la découverte d'un cas de la #COVID19. Tous les transports son…
40,CGTNEurope,"🦠 Here are the latest figures for the 14-day average of #COVID19 cases per 100,000 of the population in Europe

Sig… https://t.co/UMEqF982uL"
41,COVIDLive,"1,459 new cases and 26 new deaths in Moldova 

[16:14 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic"
42,TaishaJason,RT @mit_obe: Number of #coronavirus infections in Japan keeps rising. And there's nothing that makes you think the tide's turning. So expec…
43,QChanet,RT @Mediavenir: 🇨🇳 FLASH - La ville chinoise de #Dongning est confinée après la découverte d'un cas de la #COVID19. Tous les transports son…
44,IMADSCOTLAND,"RT @scotgov: 1,258,205 people in Scotland have been tested for #coronavirus

The total confirmed as positive has risen by 1,064 to 105,370…"
45,paraesid,RT @Mediavenir: 🇨🇳 FLASH - La ville chinoise de #Dongning est confinée après la découverte d'un cas de la #COVID19. Tous les transports son…
46,ZickZack76,"#Coronavirus in #Nürnberg - die Zahlen des 
@rki_de (Stand: 12.12.):

Fälle gesamt: 12.233 (+225) 
Verstorben: 117… https://t.co/NA1K015Pon"
47,GlobalPandemics,"ALERT: FDA Says First Authorized COVID-19 Vaccine's Benefits
'Outweigh Its Risks' - Global Pandemic News |… https://t.co/r7YnJxRdQo"
48,DLindias,"VCS BERBAYAR 💞❣️
WA: 087810623890
LINE: windiad1

🖤 #vcstrusted 
🖤 #vcscroot 
🖤 #openvcs 
🖤 #RealAngels 
🖤… https://t.co/Igybll2tRZ"
49,MadanLa74382504,"RT @AmarUjalaNews: अमेरिका कोरोना से जंग के लिए तैयार, मॉडर्ना से 10 करोड़ अतिरिक्त वैक्सीन खरीदेगा
#America #Coronavirus #CoronaVaccine #M…"
50,JenTromans,"RT @W7VOA: Yes, @WhiteHouse has resumed public tours amid the #coronavirus pandemic: https://t.co/GRFrgrjjOZ"
51,Noreen01355537,"RT @Salmankhan60906: #ڈٹ_کے_کھڑا_ہے_کپتان 
#coronavirus #Pakistan @PTIofficial @PTIKPOfficial @PTIOCharsadda @DCCharsadda @ImranKhanPTI @IM…"
52,Juanredondod,"RT @EvhVico: #Viladecans #Coronavirus #MazónFake #Fotomuebles 

Bon dia @ViladecansTweet 

 Dos d Maig/ Doctor Auguet https://t.co/Sjha5WMt…"
53,pvinodkumardvk,"RT @NTVJustIn: మక్తల్ ఎమ్మెల్యే రామ్మోహన్ రెడ్డికి కరోన పాజిటివ్.. హైదరాబాద్ లోని ఓ ప్రయివేట్ ఆసుపత్రిలో చికిత్స పొందుతున్న ఎమ్మెల్యే
#MLA…"
54,s1m_ben,RT @Mediavenir: 🇨🇳 FLASH - La ville chinoise de #Dongning est confinée après la découverte d'un cas de la #COVID19. Tous les transports son…
55,B1G_BAZ,@CovidData2 Remember this is all bollocks! #Covid is measured using a flawed testing method that produces false pos… https://t.co/b0FSLJfGYO
56,Patrick81230595,"RT @shiroihamusan: @nytopinion We don't know the truth and can't prevent #coronavirus outbreak for the 3rd time, if CCP insists not to let…"
57,EmaaTavarozzi,"RT @Metabo_PhD: Yesterday, the Science Table Advisory for Ontario had a press briefing where they showed the latest Ontario #COVID19 data.…"
58,MarianMallon,"RT @SkyNews: The UK has recorded 21,502 new #COVID19 cases and a further 519 deaths in the latest 24-hour period. 

Follow live #coronaviru…"
59,varaya1808,"RT @biobio: 🔴 AHORA | #COVID19 Con 64 nuevos fallecidos informados, este es el balance del Gobierno sobre la situación del #coronavirus en…"
60,Alihana90910797,"RT @s_turpcu: Dünyada hangi ülkede #coronavirus’den dolayı çalışması yasaklanan işyeri ve çalışanlarına,
hükümet el uzatmaz da sokağa atar?…"
61,B1G_BAZ,@COVIDLive Remember this is all bollocks! #Covid is measured using a flawed testing method that produces false posi… https://t.co/2kIGLbuaQM
62,Wim04789402,RT @Opinieleader: #Corona #coronamaatregelen #coronatest #CoronaCrisis #coronavirus #COVID19 #Covid_19 #Vaccin #vaccinazi #CoronaMelder #co…
63,CamaraLola,"RT @correodeburgos: #Burgos #Educación #Coronavirus
La portavoz del equipo de Gobierno del @Aytoburgos, Nuria Barrio @nubamar, considera «i…"
64,ThierryJFT,#Coronavirus #Australia : UQ #COVID19 #vaccine deal cancelled after #HIV false positive results in participants.  https://t.co/C1LgdNYOkZ
65,lucarango88,"@MediasetTgcom24 🔴#Italia #coronavirus #11dicembre

Casi +19.902(1.825.775 +1,10%)
Guariti +24.728(1.076.891 +2,35%… https://t.co/mBT9pqj3Vf"
66,interradial,RT @aRGra_: Visita pública en Facebook Live de #argra a las 19 h | #Hoy un recorrido en Artes y Espectáculos con @alelopezfotog y Belén Gro…
67,UMUT55642326,RT @mycalamityjane: Şu an sizden dua istiyorum hastanedeyiz yatış verildi ve çok ağır atlatıyoruz Allah’ım Anneme bir şey olmasın ben kendi…
68,lauraevangelio,RT @DOGCdeldia: RES SLT/3268/2020 pròrroga i modificació mesures en matèria de salut pública contenció brot epidèmic de la pandèmia de COVI…
69,kettagp,"RT @MomentsES: ⚡️ La información del #coronavirus en el mundo con:
 
🌎 Las últimas noticias
🇺🇳 Información de autoridades
📈 Datos para ente…"
70,DetailsYemen,"Saudi Arabia has reported 166 new #coronavirus cases over the past 24 hours, raising the total to 359,749, the health ministry announces."
71,schuklenk,RT @picardonhealth: What do we know now about where #coronavirus came from? When Chinese scientists alerted colleagues to a new virus last…
72,raumunz,"RT @EFEnoticias: Las comunidades relajan las restricciones frente al #coronavirus principalmente en desplazamientos, hostelería, horarios d…"
73,RaiNews,"#Coronavirus, 19.903 nuovi casi e 649 morti nelle ultime 24 ore in Italia https://t.co/XXdkwszaoR"
74,Saravan52786562,"#TamilNadu | #COVID19 |  12 Dec

TN - 1,218

Total Cases  - 7,97,693

Chennai - 345

Today's  Discharged - 1,296

T… https://t.co/l3eL2Q8Dwg"
75,Cachebah,"RT @CDCgov: CDC does not currently recommend the use of facemasks to help prevent novel #coronavirus. Take everyday preventive actions, lik…"
