Id,User,Text
0,Rose_Of_Dawn,RT @UnmaskedDoco: @emmakennytv talking passionately about COVID collateral - and why we must be allowed to talk about and debate the effect…
1,bitcoinconnect,The Nintendo Switch still keeps selling well SEE MORE HERE ==&gt; https://t.co/IWMLEC7zZA #GeForceRTX3090 #GiftAGamer… https://t.co/riImeLsGBa
2,JuanMig25985673,"RT @jucilnacional: 🔴Problemática derivada del excesivo número de positivos #COVID en internos del centro penitenciario La Moraleja, de Dueñ…"
3,MayKelly,"If the government told you to wear this, would you?

#Covid https://t.co/HfCwI4ssO9"
4,OrBragi,"She met him at the gym.
It all happened so fast.
No one could have predicted
that it would end this way.
P.S. This… https://t.co/UaT0QQIMpK"
5,thefirstfam,"RT @davidtark: This update was just shared by our @jaxbaptistassn. Please join me in praying for Pastor Tom Bary of @NeptuneBaptist. 

Tom…"
6,Maestermagoo,RT @VirusesImmunity: New exciting collaboration work with @Aaronmring lab reveals diverse and functional autoantibodies in #COVID patients.…
7,bealelab,RT @VirusesImmunity: New exciting collaboration work with @Aaronmring lab reveals diverse and functional autoantibodies in #COVID patients.…
8,nushelle,"RT @Amaliniii: In memory of baby Shaykh and others like him and in solidarity with these Muslim families, whose loved ones - #COVID positiv…"
9,CamoesRadio,Numa semana de boas notícias em relação a vacina contra a Covid-19...o otimismo começa a aparecer também na área do… https://t.co/YPzPu9e0Du
10,EmotionalPPE,@NBCNewYork gives an inside look at an #NewJersey #ICU during #COVID. If you are a healthcare worker in need of sup… https://t.co/s7CL31csLF
11,TheMamuns,"But,
#DamnModiLegalTerrorist!

#8thClassPassTerriblyLiars
Not Ashamed Of Anything!
WORLD'S N:1 #Corrupt… https://t.co/0EWfSUDLjI"
12,ClarkesStudent,"Our Open Spaces 🌳
Clarkes' student properties have so much to offer including the beautiful large gardens🏡, perfect… https://t.co/KKFq0BtGho"
13,mdetomasi,RT @AndreaTabarez: Yo no se a cuántos de ustedes les ha pasado de tener un caso de coronavirus cercano pero la angustia que vive esa person…
14,carrie_byington,"RT @DrQuinnCapers4: #ProudPapaAlert
Fam: my daughter’s art work “1 Man, 2 Wars” depicts a Black physician being crushed by #COVID on 1 hand…"
15,momotchiii,"""Oui, vous devrez garder le masque même après la vaccination"". Même après l'étude danoise randomisée montrant qu'un… https://t.co/n25q33obRr"
16,maria_gopegi,La pandemia #COVID demostró q en #urbanismo es sencillo implantar usos temporales alternativos si algo se entiende… https://t.co/COHfYtoV1W
17,DallasCoHealth,Protect your friends and family from #COVID-19 infections. Wearing your mask when around other people helps protect… https://t.co/lTNdFUJ2CM
18,FUNIBER_PT,"""Restaurantes Abertos"", uma iniciativa da cidade de Nova York para a reabertura de restaurantes.… https://t.co/6ZZM3Zkj3H"
19,TIPACorp,"#COVID-19: $Pollution rises in pandemic as #plastic bag, PPE waste climbs https://t.co/63XIC6iWO2"
20,Citizen190,@SenRickScott @marcorubio It is essential that any #relief  package include direct aid to individuals.  Please tell… https://t.co/oP3DkIyP3u
21,JenniferHlusko,RT @VirusesImmunity: New exciting collaboration work with @Aaronmring lab reveals diverse and functional autoantibodies in #COVID patients.…
22,ProcesoCultura,"#Reportaje | Para el ""Memorial: Héroes frente al #covid"", los artistas plasmaron en lienzo historias de algunas mil… https://t.co/vnaBlFLoul"
23,CHHolte,"RT @_pamcampos: The best. @AOC cooking in a #TaxTheRich sweatshirt, breaking down #COVID economic relief bill real talk🔥

Listening to her…"
24,Al3x_report,"RT @dpl_tech: #FelizSabado ☀️ 

Las farmacéuticas y laboratorios que desarrollan la vacuna de #Covid-19 están en la mira de los cibercrimin…"
25,NicolaZagaria18,"RT @antonellaviol17: Perché in Italia il tasso di letalità per #Covid è così alto (3,5%)?
Pesano la mancanza di accuratezza nella identific…"
26,iSmileTechnolo1,"https://t.co/G0CzdqAtGA
Our new blog on how can you keep your business space safe during #COVID-19. Our product… https://t.co/qf70CsQeeo"
27,madison_lhc,¡Acompáñalos vía #Facebook Live este Lunes 14 De Diciembre! 🙂 El Consejo Latino para la Salud va estar prentando su… https://t.co/c9oITyJlUu
28,Glos_Police,Just like #Covid-19 defeating terrorism requires a collective community effort. To learn more about the role that y… https://t.co/ZzNciI5ZAS
29,Ivan__soli,"RT @marcocanestrari: Va ricordato che una delle persone da ringraziare per la velocità di sviluppo del vaccino #covid, per la battaglia sul…"
30,Grunf74,"RT @arrigoni_paolo: Dl #Ristori: #Lega, grazie a centrodestra 180 milioni per scontare bollette elettriche a imprese in difficoltà a causa…"
31,PaoloGrazioso,"RT @sciolti_cani: La #Lamorgese non è positiva al #Covid. Errore nel tampone. Tra i primi sospettati, si sta interrogando tale Matteo S., g…"
32,CarolePhilomenn,RT @RobertKennedyJr: Investigation this week identified polyethylene glycol (PEG) as likely reason 2 people in UK suffered anaphylaxis afte…
33,borisgast,RT @borisgast: Where the #Covid  #Trudeau money goes !? Cc @CBC @RadioCanadaInfo  @mmdenisrc @Lucejulien @Marcpichette @PatriceRoyTJ  @SebB…
34,AL_FER_CO,"12 de Diciembre de 2020. Coronavirus Covid-19. Casos confirmados.
Evolución provincia de León. 
#Covid_19 #Covid-19… https://t.co/yS0GX3Tvwu"
35,Maria4549877862,"RT @jucilnacional: Por el suicidio de un etarra, el presidente del gobierno da el pésame en el Congreso a Bildu.

Por el fallecimiento del…"
36,DrAnthony,What is a COVID-secure workplace? https://t.co/I7ZQK4aE3Y #SaturdayMorning #Saturday #SaturdayMood #Careers #Career… https://t.co/8eIRy7PXse
37,ARNPvernon,"RT @AllergyKidsDoc: Allergy details for @US_FDA #COVID vaccine approval:
✅Anyone with known allergy to this vaccine or ingredients should a…"
38,PaoloGrazioso,RT @sciolti_cani: Ma non vi pare Strano che in un Triangolo Rettangolo il Quadrato costruito sull'Ipotenusa sia Equivalente alla Somma dei…
39,PaoloGrazioso,"RT @sciolti_cani: Col #Complottismo ci vado a #Nuzzi.

[@FrancoCappellet]

#vaccino #COVID"
40,jusapolalcala,"RT @jucilnacional: 🔴Problemática derivada del excesivo número de positivos #COVID en internos del centro penitenciario La Moraleja, de Dueñ…"
41,At28_28,"RT @OAMacaracuay: #Entérate En esta flexibilización no bajes la guardia Conoce los síntomas del #Covid-19, en el #IVSS nos gusta mantenerte…"
42,Ah19711,"RT @jucilnacional: Por el suicidio de un etarra, el presidente del gobierno da el pésame en el Congreso a Bildu.

Por el fallecimiento del…"
43,PaoloGrazioso,"RT @sciolti_cani: Ma non vi sembra Strano che a #Nuzzi sembri Strano?

[@FrancoCappellet]

#vaccino #COVID"
44,twiCKter,'¡Dejen de jugar!': @realDonaldTrump pide acelerar la vacuna contra el #Covid y la Casa Blanca da un ultimátum a la… https://t.co/RrHpkjODuG
45,PaoloGrazioso,"RT @sciolti_cani: Ma non vi pare Strano che se uno fa un #vaccino, poi non si ammala?

[@FrancoCappellet]

#nuzzi #COVID"
46,StaceyMGaines,Senate Majority Leader Mitch McConnell rejected a $908 billion proposal that would've offered more emergency aid to… https://t.co/dOnjWCucMc
47,TechStoryin,"Fintech start-up, Tink bags 85M euros in latest funding round, valuation raised to $824M
.
https://t.co/KYQHvhu6cb… https://t.co/455b94rxEp"
48,INFINIT11823526,"🖤🖤🖤

#sad #sadlife #tiste #Diciembre #Venezuela #covid #QuedateEnCasa https://t.co/SwMantrHoi"
49,MetroCDMX,Una prueba rápida 🧪 puede ayudarte a saber si tienes #COVID y así tomar las medidas adecuadas de aislamiento y trat… https://t.co/XPKrSczY78
50,NoticiaCongreso,📌Recuerda mantener una sana distancia para evitar el contagio y propagación del #COVID-19 🦠. No saludes de 😗 ni de… https://t.co/piMxX6KTq4
51,BibRave,"Fast runner, book author, &amp; this week’s #BRPodcast guest, @mattfitwriter!
 
All the 🔥 topics are covered, running,… https://t.co/NbEjQGABb6"
52,dpl_tech,"#FelizSabado ☀️ 

Las farmacéuticas y laboratorios que desarrollan la vacuna de #Covid-19 están en la mira de los c… https://t.co/1h3Ugp6MWX"
53,espacifico,Mortalidad por #Covid en #Colima supera promedio nacional: investigador de la @UNAM_MX ➡️ https://t.co/3RNfnlgm63 https://t.co/WsnYsgDECa
54,EconomiaGobPue,Hagamos un trabajo conjunto para detener la pandemia por #COVID-19. Únete a un #PactoComunitario para detener los c… https://t.co/ZoyrePNit2
55,XboxRetweeter,"RT @bitcoinconnect: Planet Coaster's Spooky and Adventure Expansion Packs Out Now on PS5, PS4 SEE MORE HERE ==&gt; https://t.co/8PTOFMzQGs  #G…"
56,XboxRetweeter,RT @bitcoinconnect: PS5 Stocks : Struggling to buy a PS5 in the USA? Here are some stores that might just have it including... SEE MORE HER…
