Num,Id,User,Text,Likes,Retweets,Geolocation,Location,Language,User_Id,User_Name,User_Followers,User_Following
0,1338067719296528384,viralvideovlogs,"RT @verdanielle: #Deutschland #Corona #COVID19 #coronavirus #Pandemie

BITTE schmeisst nicht Eure Masken weg, 
wo Ihr geht und steht. 
Legt…",0,1,,കേരളം,de,952247125185720320,#StayHome,4744,4623
1,1338067717056827394,docnewsoholic,"RT @Tagesspiegel: Die #Polizei #Berlin stellt sich darauf ein, Transporte mit dem #Impfstoff gegen das #Coronavirus zu bewachen. Auch die k…",0,17,,,de,756737840130756608,doc newsoholic,30,141
2,1338067714783502338,_SiGonfiaLaRete,"#coronavirus, deputato di Italia Viva: ""Meridionali più forti perché sono africani bianchi""

https://t.co/M123SrZnht",0,0,,Napoli,it,2489846964,Si Gonfia La Rete,4491,192
3,1338067713646678017,verdanielle,"#Deutschland #Corona #COVID19 #coronavirus #Pandemie

BITTE schmeisst nicht Eure Masken weg, 
wo Ihr geht und steht… https://t.co/oNltDT2D5w",0,1,,,de,715464088957100032,Danielle Ver 🌍🇩🇪🇫🇷🇺🇸,0,0
4,1338067709372882944,DivinityMemes,"RT @kankoll1: I love democracy
#memes2020 #life #coronavirus #meme https://t.co/xVjyZgjhTn",0,1,,United States,en,857389760226234369,DivinityMemes,492,17
5,1338067696806608897,ancient_study,"RT @PKSRanaG: #खेत में स्प्रे #Spray करते देखा था!💥
अब #शादी विवाह के #पंडाल में भी देख लो!!😂😂

फॉलो करें @PKSRanaG
#coronavirus #Corona 
#…",0,39,,India,hi,1310208702650003457,school_of_ancient_science,4,74
6,1338067688057434114,gabriellaparisi,"#Coronavirus, le notizie di oggi sul #Covid: nessuna regione zona rossa, gli esperti: ""Limitare gli spostamenti per… https://t.co/78gUcL3YYn",0,0,,Hyperspace,it,281563139,Gabriella Parisi,1409,187
7,1338067685670842368,Das_Linchen,"Sorry, aber was soll das?! 
Jetzt werden Montag &amp; Dienstag die Läden und Innenstädte wieder überrannt. 
Warum nicht… https://t.co/EeVpW2Ebbt",0,0,,"Bielefeld, Nordrhein-Westfalen",de,35215707,Bonnie Parker,1202,230
8,1338067672936943616,1dezas41,"RT @AntiDolos: ⚡️Connection between #BTC cost &amp; #COVID19 ⚡️

🦠The #Coronavirus bear market presents the intense showcase misfortunes since…",0,5,,,en,1161283538873925634,Kakashi Nakamoto,25,82
9,1338067669795434497,LiLouarD2,"RT @Mediavenir: 🇫🇷 FLASH - Le professeur Philippe #Juvin ""espère"" que le #vaccin contre la #COVID19 fonctionnera, car sinon ""1 à 10 épisode…",0,172,,,fr,932229267374723075,Louise,341,386
10,1338067667035545601,RobertoCastaldi,"RT @europainitalia: Twitter, Facebook, Microsoft, Google, TikTok hanno risposto a invito della #CommissioneUE impegnandosi a combattere la…",0,6,,www.cesue.eu,it,1326429109,Roberto Castaldi,2468,4999
11,1338067661440360448,DAGUILARFOTO,"RT @DAGUILARFOTO: ""Basílica de Guadalupe"" La imagen en el día de la Virgen. Celebración en tiempos de Covid. #VirgenDeGuadalupe #Basilica #…",0,562,,CIUDAD DE MÉXICO,es,764723456,Daniel Aguilar Photo,15659,2050
12,1338067655836585991,ActionTime,"RT @ActionTime: How #Vaccine Rollout Will Compare in #UK,#Canada &amp; #USA #COVIDSecondWave #coronavirus #Covid19UK #IARTG #CoronaVirusUpdates…",0,1,,"Beautiful Vancouver, Canada",en,1620010466,E.H. Hau #Resist #Persist,91297,85869
13,1338067647389454337,MNDManchester,"RT @NHSHMR: It's so important everyone that needs to self-isolate does. 

This is to stop the spread of #coronavirus and keep people safe.…",0,1,,Greater Manchester / High Peak,en,566260023,MND Association - Manchester & District Branch,2556,510
14,1338067628141776898,RetoRek,"#Covidiot @Erich_Hess ist nicht nicht nur dumm und gefährlich (er forderte zu Gefährdung von Menschenleben auf), so… https://t.co/8FA9DHV4m6",0,0,,Zürich,de,320736916,Reto Knobel,305,516
15,1338067621460185091,VanMetje,Er is ‘n meisje (15) met #Covid_19 die nu naar een quarantaine-afdeling vh hoofdkantoor is verplaatst. Ze heeft zov… https://t.co/32NPymKcmc,0,0,,,nl,1051861618450190342,Metje van Elten,1238,1000
16,1338067619660791808,EPCantabria,"Cantabria suma dos fallecidos por #coronavirus y suben los hospitalizados, pero los casos nuevos bajan a 55 https://t.co/G18HLB25fr",0,0,,,es,231482556,Europa Press,9933,527
17,1338067605635162113,TheBlac14661337,"RT @SkyNews: Aerial footage shows Christmas shoppers enjoying London's Oxford Street, as #coronavirus cases in the capital rise. 

For more…",0,23,,,en,1242744948346294272,TheBlackList,33,102
18,1338067586433642498,fabien_fichaux,"RT @Mediavenir: 🇫🇷 FLASH - Le professeur Philippe #Juvin ""espère"" que le #vaccin contre la #COVID19 fonctionnera, car sinon ""1 à 10 épisode…",0,172,,"Jeumont, France",fr,846815639822090240,FabiShow,1241,3600
19,1338067581299658754,SRUnfiltered,RT @cenkuygur: It's begun. Dr. Jill Biden is now not enough of a doctor for conservatives. When Trump was talking about injecting bleach to…,0,311,,"Berkeley, CA ↔️ Sacramento, CA",en,481703659,Stephen Ruderman 🌹,823,1647
