Num,Id,Created,User,Text,Likes,Retweets,Geolocation,Location,Language,User_Id,User_Name,User_Followers,User_Following
0,1338070526519095297,2020-12-13 10:37:28,ali__samson,RT @RAF_Luton: BREAKING: Super Army Soldiers from #RAFLuton responded to reports of a man on the 08.17 train from Reading to Paddington not…,0,2,,Fell down the rabbit hole,en,228699473,Ali.,12524,4419
1,1338070517161619456,2020-12-13 10:37:26,Yasin84440349,"RT @Usyinn: Basında çıkan haberlerden anladığım kadarıyla Ak Parti #Biontech'ten aşı almış ve kendi partililerine yaptırmış bile.

Fakat bi…",0,7,,,tr,1292395991057014785,Yasin,258,253
2,1338070512707063811,2020-12-13 10:37:25,lopcute,"RT @DarrenEuronews: BREAK: Angela Merkel announces German national lockdown - Wednesday until Jan 10th #coronavirus

🔸Non essential shops t…",0,9,,london,en,262302919,Anna-Rose 🦉🥀🌹🐇,7133,6953
3,1338070512543657985,2020-12-13 10:37:24,Greggie,@piersmorgan I see loads of ppl everyday not wearing masks in shops....the majority have masks on but i have not be… https://t.co/gGxzZJwfMP,0,0,,Westgate on Sea,en,15426039,Greg,897,4969
4,1338070512170307584,2020-12-13 10:37:24,COVIDLive,"571 new cases and 8 new deaths in Oman 

[10:37 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic",0,0,,,en,1236273574895329281,Coronavirus Updates,745,2
5,1338070508772921345,2020-12-13 10:37:24,RicoSorda,@GaryBurgessCI @ITVChannelTV May god look after all that have it. That is just my opinion and I’m allowed to have i… https://t.co/uQdLi4Kh7A,0,0,,,en,314098336,Rico Sorda,1280,992
6,1338070508655570944,2020-12-13 10:37:24,yuani_clio,RT @EFEnoticias: La Organización Mundial de la Salud (OMS) registró en las últimas 24 horas más de 13.000 muertes globales y 692.000 nuevos…,0,317,,coruña,es,165845380,Juan Miguel Fuentes,95,1153
7,1338070506868772865,2020-12-13 10:37:23,FraykinJavier,"""COVID-19: La pandemia registra su peor día"" #Coronavirus https://t.co/uQhfVjJG4C",0,0,,Tarragona,es,343894228,Javier,4592,3571
8,1338070501995016192,2020-12-13 10:37:22,domstadtmedicus,#Eilmeldung Regierende beschließen in drei Tagen zu handeln!!! #lockdown #coronavirus,0,0,,"Köln, Deutschland",de,1241284721281302528,Domstadt Medicus,23,71
9,1338070491140014080,2020-12-13 10:37:19,News18Bengali,"কাদের আগে করোনার টিকা দেওয়া হবে, অগ্রাধিকার দেওয়া হবে কীসের ভিত্তিতে, সেই তালিকা তৈরি হচ্ছে ইতিমধ্যেই৷… https://t.co/N0Olm0jiF3",0,0,,"Kolkata, India",bn,3106609956,News18Bangla,91633,340
10,1338070487318945793,2020-12-13 10:37:18,hdydiednnd,RT @bopanc: The Swedish #Covid-19 experiment is over. After a severe second #coronavirus wave - which authorities said won’t happen - the g…,0,886,,,en,2343188804,Krishna murthy,156,335
11,1338070485242933249,2020-12-13 10:37:18,the_gg_rechts,RT @mdr_th: In ganz Thüringen ab Mittwoch kein Präsenzunterricht in den Schulen mehr. Bis 22.12.2020 und zw. 4. und 8.1.2021 wird zuhause g…,0,5,,,de,919990570206023680,Themar gegen Rechts,1326,597
12,1338070478536273921,2020-12-13 10:37:16,Walle29581727,"RT @Strahlemann9: Stellt euch mal vor, das #coronavirus wäre in einer russischen Stadt ausgebrochen, in der sich ein Labor befindet, die an…",0,1,,,de,1179253775728611329,Walle2 - gab.com/wallekoeln,320,422
13,1338070474568372224,2020-12-13 10:37:15,yanraf29,"RT @Mediavenir: 🇫🇷 FLASH - Le professeur Philippe #Juvin ""espère"" que le #vaccin contre la #COVID19 fonctionnera, car sinon ""1 à 10 épisode…",0,182,,"Marseille, France",fr,2845623292,yanraf🇩🇿,239,1001
