Id,User,Text
0,Chri22y,"@HowieCarrShow Re: #Covid
https://t.co/V3W6xCDyF1"
1,UldisMikuts,"Great &amp; candid meeting today w/ Minister of Economy and Infrastructure Anatol Usatîi, exchanged views on economic m… https://t.co/M6jNmISt6F"
2,JamesHa46894972,Can't believe my guy the Weeknd was denied a Grammy nom. #fuckthegrammys #vapelife #vapingwiththeboys #bermuda… https://t.co/2L7U7JZOtw
3,InfoStrat,RT @aaronksaunders: Why “flexibility” may be the least helpful thing companies can offer working parents right now https://t.co/3TNsalTbwe…
4,dumbassgenius,"#Covid, a president trying to overturn an election, and now jerky pirates."
5,GairCynthia,"It's the usual #Trump 

NO PLAN

The @WhiteHouse done NO planning for getting #COVID vaccine out to Americans. This… https://t.co/QiutzRHkvN"
6,NextGen_docs,RT @Regencells: 18 PRVs have been sold since 2014 for an average value of approximately $135 million. https://t.co/6SvwtLrHb0 #PRV #vaccine…
7,bitcoinconnect,Hurry! Nintendo Switch is back in stock at Walmart—get it before it sells out SEE MORE HERE ==&gt;… https://t.co/rN9tnwlTW7
8,ditillman2,"RT @accountable_us: Hospitals don't have the resources they need to treat patients as the number of #COVID hospitalizations tops 100,000. W…"
9,Divya_A_Mehra,@Mari_Pangestu discusses challenges in #socialprotection programs and the need to make them #gender sensitive… https://t.co/ekpKThESUC
10,eczac25598893,RT @BulutGulcuN: #Risk testinizi yaparak tivitin altına belirtiniz. #Covid Risk Testi'ni beğendiyseniz lütfen RT ederek daha fazla kişiye u…
11,donalward1,@LeoVaradkar Thanks for your concern 😀 its great that we have #nurses working for nothing to look after us 😷😀 #COVID
12,KMGVictoria,RT @AlexBerenson: Funny story: @cnbc told me that @joesquawk wanted me on to talk #Covid. We confirmed an interview. Then it was canceled.…
13,CryptoQuix,"RT @21WIRE: [1/5] If you've been in a #COVID #Lockdown, #Tiers or denied access for not doing #TestandTrace or #Vaccine, consider the follo…"
14,Migliorini_Nico,#mondooggi #natale #covid #chiesa #cristianesimo #europa #nwo #islamismo #medioevo RIFLESSIONI SUI SECOLI BUI… https://t.co/m9e48zCb65
15,polityczna19,"Byłam dziś w szpitalu na rentgenie 
Wczoraj załatwiony termin telefonicznie na dziś 
W środę byłam u lekarki po ski… https://t.co/EkyNqsv8SQ"
16,klauzzlob,"RT @MeganoticiasGTZ: #Salud #COVID-19 😷🏥 Chiapas acumula siete mil 75 casos positivos de COVID-19, hoy se reportaron diez casos nuevos y ce…"
17,CoachGogo,"#COVID or no COVID, Nigerians in America telling their brethren in Nigeria that they support their #EndSARS reform… https://t.co/JJBsu5SXNL"
18,mondo_oggi,#mondooggi #natale #covid #chiesa #cristianesimo #europa #nwo #islamismo #medioevo RIFLESSIONI SUI SECOLI BUI… https://t.co/OL8hnVcrXr
19,jrzgrlnsunshine,RT @ritaferrandino: Florida #COVIDー19 #COVID Numbers Climb
20,CROTTY,"RT @JeffFortenberry: As Ranking Member of the House Appropriations Subcommittee overseeing Food and Drug Administration, I took the opportu…"
