Id,User,Text
0,DimitrisKrantas,"RT @karapanagiotidu: Ο #κορωνοιος... ""ετρεξε"" προγράμματα εκατομμυρίων #ΕΣΠΑ σε ""ξεχασμένα"" νοσοκομεία της βορείου Ελλάδος https://t.co/oKG…"
1,YiorgosM,"RT @Timelinegr_: Σε απίστευτους ισχυρισμούς ότι δήθεν το εμβόλιο για τον κορωνοϊό θα αλλοιώσει το DNA του ανθρώπου, προέβη ο πρώην υφυπουργ…"
2,KourtakisJohn,"Σε απίστευτους ισχυρισμούς ότι δήθεν το εμβόλιο για τον κορωνοϊό θα αλλοιώσει το DNA του ανθρώπου, προέβη ο πρώην υ… https://t.co/iocFtv5Jal"
3,VoyagerStII,#ακροπολη #αμβροσιος #αμερικανικες_εκλογες #Αμμοχωστος #ανοχη_τελος #ΑΟΖ #απαγορευση_κυκλοφοριας #Βαρωσια #Βουλη… https://t.co/7oROdXYsiO
4,polyksenh_blog,"RT @esykozanis3: ΤΑ ΨΕΥΔΗ ΤΩΝ ΦΑΡΜΑΚΟΒΙΟΜΗΧΑΝΙΩΝ https://t.co/oCkPn0myeG via @YouTube 

#ΥΓΕΙΑ #Πολιτική #ΠΟΛΙΤΙΚΗ #Εμβολιο #Pfizer #ΕΛΛΑΔΑ…"
5,VKavraki,"Περι Κορωνοιού και εμβολίου . 👇👇👇 #Εμβολιο #COVID19gr 
https://t.co/swNZYoifqv"
6,dimpenewscom1,Γενετίστρια Alexandra Henrion-Caude: δεν εμπιστευόμαστε αυτό το εμβόλιο. Δεν είναι #Εμβολιο . Είναι  γενετική μηχαν… https://t.co/qhxewE6b5s
7,mikepyrgos,RT @anti_multi: Η μεγαλυτερη μπιζνα στον πλανητη ειναι η φαρμακοβιομηχανια. Αυτη δημιουργει την ασθενεια αυτη και την θεραπεια. Ετσι δεν ξε…
8,angie22gr,"RT @TetraLogiki: Ύποπτα αληθοφανή βίντεο κ αναρτήσεις ειδικών και ""ειδικών"" καθως κ διαφόρων στελεχών σαμοιταρουν τον εμβολιασμό παγκοσμίως…"
9,TetraLogiki,"Ύποπτα αληθοφανή βίντεο κ αναρτήσεις ειδικών και ""ειδικών"" καθως κ διαφόρων στελεχών σαμοιταρουν τον εμβολιασμό παγ… https://t.co/CQLoSe9rjr"
10,kapetaniosZ,#κορονοιος  #Μητσοτακη_καθαρμα #μμε_ξεφτιλες #ΑΡΔ #ΝΔ_ξεφτιλες #Τι_ψηφισατε_ρε #Συριζα_ξεφτιλες #Κυβέρνηση_συμμορία… https://t.co/78FCSvxKWu
11,Lady_S99,"RT @johnkousk: Είσαστε σίγουροι για κάτι τελικά η πάμε και όπου κάτσει η μπίλια
#Εμβολιο
#lockdown2gr https://t.co/s4w8uDZAuv"
12,MavraganiMa,"Με κούρασε απίστευτα, η τρομοκρατία- τρομολαγνεία, από όλες τις πλευρές. Ένθεν και ένθεν. Ψυχραιμία και πίστη.… https://t.co/j0durCnLFd"
13,p_gianis,πάντως οταν η Pfizer ειχε κυκλοφορήσει  το viagra τοσοι  προβληματισμοί δεν υπήρξαν οσοι τώρα με το εμβόλιο..#Εμβολιο
14,Vasilakislakis,@Real_gr Κανείς να μην κάνει αντίδραση τώρα! έτσι κι αλλιώς το Σεπτέμβρη του 21 θα μας φέρουν τον covid21 και καλά… https://t.co/lkOc2pSPiF
15,esykozanis3,"ΤΑ ΨΕΥΔΗ ΤΩΝ ΦΑΡΜΑΚΟΒΙΟΜΗΧΑΝΙΩΝ https://t.co/oCkPn0myeG via @YouTube 

#ΥΓΕΙΑ #Πολιτική #ΠΟΛΙΤΙΚΗ #Εμβολιο #Pfizer #ΕΛΛΑΔΑ #ελλας"
16,dimpenewscom1,Καθ.Λοιμωξιολόγος Christian #Perronne:υπάρχει κίνδυνος τα εμβόλια αυτά να τροποποιήσουν οριστικά τα γονίδια μας.Μπο… https://t.co/iHdC20C0DW
