Id,User,Text
0,Guardofmind1,@bankingnewsgr Νταξ......απογειωθηκαμε....βζιν.....κ για αλλη μια φορα η ιδια ιστορια μετα το 81.....η νδ αφηνει χε… https://t.co/h6TXBszsF7
1,TsakiriMartha,"RT @aigeas: η καινούργια #δικτατορια που εφεύρεσαν οι #ελιτ, λέγεται ΙΑΤΡΙΚΗ ΔΙΚΤΑΤΟΡΙΑ.
#ΙατρικηΔικτατορια
#κορονοϊος
#κορωνοιος
#μενουμεα…"
2,italianoVeroGR,"#italianoVeroGR #Ιταλικά 🇮🇹 

#Δεκέμβριος

#Εργασία #Δουλειά #ΑΣΕΠ
#Ελλάδα #Αθήνα #Πειραιάς #Γλυφάδα #Μαρούσι… https://t.co/RC3Q8pgIIy"
3,VoyagerStII,#ισλαμ #καραντινα #καραντινα2 #Κεραμεως #κικιλιας #κορονοϊος #κρουσματα #κυβερνηση_Μητσοτακη #Κυπρος #ΛΑΡΙΣΑ… https://t.co/toHYkV2lgW
4,VoyagerStII,RT @karakad69: Η #κυβερνηση_Μητσοτακη στοχοποιεί βγάζει σπυριά σε οτιδήποτε μυρίζει Έθνος κ Χριστιανισμό.  Με πρόσχημα τον #COVID χτυπά την…
5,karakad69,Η #κυβερνηση_Μητσοτακη στοχοποιεί βγάζει σπυριά σε οτιδήποτε μυρίζει Έθνος κ Χριστιανισμό.  Με πρόσχημα τον #COVID… https://t.co/5EdgFEHLYm
6,trooperas,"Ίσως σε ενδιαφέρει: 
Ιστορίες Ζωής: Έχασε την όρασή του - Βρήκε ''φως'' μέσα από τη μουσική  |… https://t.co/QHnOxlFhCL"
7,Panos01232110,"Μέσα σε 2 καραντίνες έχω αγοράσει μαγιό και 2 μπλούζες (που δεν ήρθαν ποτέ!!!), 2 καφετιέρες, 1 ηλεκτρική σκούπα, 1… https://t.co/fxCw7QB8HM"
8,theveganskunk,ΣΥΝΕΝΤΕΥΞΗ ΜΕ ΤΗΝ VEGAN GECKO - #SKUNKCASTS  #5 https://t.co/oPFTiJCL2t via @YouTube #vegan #podcast #ΕΛΛΑΔΑ… https://t.co/F2l1Da1FiX
9,Moonshine427,ΣΥΝΕΝΤΕΥΞΗ ΜΕ ΤΗΝ VEGAN GECKO - #SKUNKCASTS  #5 https://t.co/YvljvQiWJB via @YouTube #vegan #podcast #ΕΛΛΑΔΑ… https://t.co/QcpgSb6Beu
10,Fotinos82,Το κακό στην #υγεία και την #οικονομία έχει γίνει. Καταστροφή. Ας μην γίνει το άνοιγμα του #λοκνταουν τόσο άτσαλα κ… https://t.co/PNlHKeBw2Y
11,TVG6fX5TCKWVpOB,"RT @FainaRom_parody: Δουλα: Από το Κολωνάκι στην Πάρνηθα, ΜΙΑ #ΚΑΡΑΝΤΙΝΑ ΔΡΟΜΟΣ!
Yolo Κουλη!YOLO!
#κυβερνηση_Μητσοτακη #κυβερνηση_τσιρκο #π…"
12,MgtMar1,"RT @Marilou46: Θα το κάνω αφίσα και θα κυκλοφορώ με αυτό. Ας έρθουν οι αστυνομικοί να μου πουν ό,τι θέλουν 😡
#κορονοιος #Μητσοτακης #ΝΔ #ΝΔ…"
13,CopernicusN2,"Επειδής η #καραντινα θέλει καλή φυσική κατάσταση, ξεκινάμε σιγά-σιγά γυμναστική..! https://t.co/IPURVh34mD"
14,Evoia40,"RT @Evoia40: Το #Lockdown2 είναι εδώ
Στο Αιγαίο φυσούν πολλά μποφόρ
Κλειστά παντζούρια, αναμνήσεις με τα παιδιά γύρω από το τραπέζι...
Τώρα…"
15,mantiskalchas,"RT @Marilou46: Θα το κάνω αφίσα και θα κυκλοφορώ με αυτό. Ας έρθουν οι αστυνομικοί να μου πουν ό,τι θέλουν 😡
#κορονοιος #Μητσοτακης #ΝΔ #ΝΔ…"
16,FainaRom_parody,"RT @FainaRom_parody: Δουλα: Από το Κολωνάκι στην Πάρνηθα, ΜΙΑ #ΚΑΡΑΝΤΙΝΑ ΔΡΟΜΟΣ!
Yolo Κουλη!YOLO!
#κυβερνηση_Μητσοτακη #κυβερνηση_τσιρκο #π…"
17,kostaspampalis,"RT @Marilou46: Θα το κάνω αφίσα και θα κυκλοφορώ με αυτό. Ας έρθουν οι αστυνομικοί να μου πουν ό,τι θέλουν 😡
#κορονοιος #Μητσοτακης #ΝΔ #ΝΔ…"
18,grantjoky,Δεν έχω πλάστη και τα σούπερ μάρκετ απαγορεύεται να πουλήσουν ήδη σπιτιού.. ανοίγω φύλλο με ρόλο από χαρτί κουζίνας… https://t.co/NFdRbDNpD7
19,tikas490,"RT @Marilou46: Θα το κάνω αφίσα και θα κυκλοφορώ με αυτό. Ας έρθουν οι αστυνομικοί να μου πουν ό,τι θέλουν 😡
#κορονοιος #Μητσοτακης #ΝΔ #ΝΔ…"
