Id,User,Text
0,stathismt,RT @2008So: Περιμένω να δω πότε θα έρθει ο Κικίλιας στη Θεσσαλονίκη να ανακοινώσει ότι θα μας ασβεστώσουνε #καραντινα
1,Guardofmind1,#καραντινα #lockdown2gr #lockdowngr #κυβερνηση_τσιρκο #ΝΔ_ξεφτιλες #ΝΔ_θελατε https://t.co/EYhTE2pnXY
2,mikros_prigkipa,RT @2008So: Περιμένω να δω πότε θα έρθει ο Κικίλιας στη Θεσσαλονίκη να ανακοινώσει ότι θα μας ασβεστώσουνε #καραντινα
3,TsiribimT,RT @Melitini1: Βάση του νομοσχεδιου του Υπ.Περιβάλλοντος 6πλασιάζονται τα ΠΡΟΣΤΙΜΑ για όσους καθυστέρησαν να δηλώσουν στοΚΤΗΜΑΤΟΛΟΓΙΟ τα ακ…
4,el_ges,RT @Melitini1: Βάση του νομοσχεδιου του Υπ.Περιβάλλοντος 6πλασιάζονται τα ΠΡΟΣΤΙΜΑ για όσους καθυστέρησαν να δηλώσουν στοΚΤΗΜΑΤΟΛΟΓΙΟ τα ακ…
5,trooperas,"Ας διαβάσουμε και κάτι διαφορετιό:
Ο 10χρονος σκακιστής που κέρδισε τη Μπεθ Χάρμον του ""The Queen’s Gambit"" |… https://t.co/Kr2251MJDQ"
6,Evoia40,"RT @Evoia40: Το #Lockdown2 είναι εδώ
Στο Αιγαίο φυσούν πολλά μποφόρ
Κλειστά παντζούρια, αναμνήσεις με τα παιδιά γύρω από το τραπέζι...
Τώρα…"
7,sotpap1997,RT @Melitini1: Βάση του νομοσχεδιου του Υπ.Περιβάλλοντος 6πλασιάζονται τα ΠΡΟΣΤΙΜΑ για όσους καθυστέρησαν να δηλώσουν στοΚΤΗΜΑΤΟΛΟΓΙΟ τα ακ…
8,Melitini1,Βάση του νομοσχεδιου του Υπ.Περιβάλλοντος 6πλασιάζονται τα ΠΡΟΣΤΙΜΑ για όσους καθυστέρησαν να δηλώσουν στοΚΤΗΜΑΤΟΛΟ… https://t.co/BbYrapEvUw
9,DimitrisKrantas,RT @karapanagiotidu: Δεν θέλει πολύ να τις... ξαναγεμίσουμε #κορονοιος #Θεσσαλονικη_λεμε #καραντινα #κρούσματα #COVID19 #Covid_19 #coronavi…
10,ViviannaBlair,"Αν είχαν χιούμορ πάντως στα κανάλια, τώρα που δεν έχει δελτία ειδήσεων θα έβαζαν επεισόδια από τους Στάβλους της Ερ… https://t.co/UPns9CslGs"
11,trooperas,"Πρέπει να το διαβάσεις: 
Νικητής βγήκε ο 8χρονος από τη ΜΕΘ του Ρίου και με δώρο σκάφανδρο |… https://t.co/sM1cnatMjQ"
12,ViviannaBlair,"Εν τω μεταξύ, τώρα που το σκέφτομαι, σε αυτό που ζούμε με τις καραντίνες, ταιριάζει απόλυτα αυτό που λένε, ότι «η ι… https://t.co/iGrfIPwT6B"
13,123poulakia,Τώρα που με το follow του @covid19gr πρέπει μα μπω σε #καραντινα ?
14,maked0nikon,"RT @maked0nikon: ΟΛΟΙ οι Μακεδόνες πρέπει να βγούμε στους δρόμους και να τους στείλουμε στον διάολο. Και αυτούς και την #καραντίνα τους!

Θ…"
15,mulina_cz,"RT @Mamoulakis: Σε αυτό το τσουνάμι των αρνητικών εξελίξεων, ο #ΣΥΡΙΖΑ-ΠΣ  βρίσκεται στο πλευρό των πολιτών. Διεκδικούμε τα αυτονόητα, αυτά…"
16,LegibleEvan,"RT @EmOikonomidis: Η αναπόφευκτη «καινούρια ηγεσία», μετά την πανδημία https://t.co/Va4bXdMITe #Ysterografa #Υστερογραφα #κορονοϊός #Εμβολι…"
17,ChocoLata34,RT @O_Kafros: Μόνο εγώ έχω νεύρα δλδ? #καραντινα
18,Madamecocogr,"Πιείτε τον καφέ σας με τα αγαπημένα σας πρόσωπα χρησιμοποιώντας τα πολύ κομψά φλιτζάνια καφέ Balard 4 τεμαχίων, με… https://t.co/MgnMaYFoIk"
19,LatsosGatoulis,RT @O_Kafros: Μόνο εγώ έχω νεύρα δλδ? #καραντινα
20,barbie_chlk,RT @O_Kafros: Μόνο εγώ έχω νεύρα δλδ? #καραντινα
21,O_Kafros,Μόνο εγώ έχω νεύρα δλδ? #καραντινα
